date,share_code,issuer_name,investor_name,investor_classification,local_foreign,nationality,domicile,holdings_scripless,holdings_scrip,total_holding_shares,percentage
30-Jun-2026,AADI,ADARO ANDALAN INDONESIA Tbk,PERSADA CAPITAL INVESTAMA,Corporate,L,,INDONESIA,119887170,0,119887170,1.54
30-Jun-2026,AADI,ADARO ANDALAN INDONESIA Tbk,SARATOGA INVESTAMA SEDAYA TBK PT,Corporate,L,,INDONESIA,340897429,0,340897429,4.38
30-Jun-2026,AADI,ADARO ANDALAN INDONESIA Tbk,PT TRINUGRAHA THOHIR,Corporate,L,,INDONESIA,89926520,0,89926520,1.15
30-Jun-2026,AADI,ADARO ANDALAN INDONESIA Tbk,ADARO STRATEGIC INVESTMENTS,Corporate,L,,INDONESIA,3200142830,0,3200142830,41.1
30-Jun-2026,AADI,ADARO ANDALAN INDONESIA Tbk,ALAMTRI RESOURCES INDONESIA TBK PT,Corporate,L,,INDONESIA,1197023942,0,1197023942,15.37
30-Jun-2026,AADI,ADARO ANDALAN INDONESIA Tbk,FTAG INVESTMENT BANK LTD,Financial Institutional,F,,MALAYSIA,100722000,0,100722000,1.29
30-Jun-2026,AADI,ADARO ANDALAN INDONESIA Tbk,GARIBALDI THOHIR,Individual,L,INDONESIAN,INDONESIA,454011607,0,454011607,5.83
30-Jun-2026,AADI,ADARO ANDALAN INDONESIA Tbk,IR. T. PERMADI RACHMAT,Individual,L,INDONESIAN,INDONESIA,256255018,0,256255018,3.29
30-Jun-2026,AADI,ADARO ANDALAN INDONESIA Tbk,EDWIN SOERYADJAYA,Individual,L,INDONESIAN,INDONESIA,273955636,0,273955636,3.52
30-Jun-2026,AADI,ADARO ANDALAN INDONESIA Tbk,SANDIAGA SALAHUDDIN UNO,Individual,L,INDONESIAN,INDONESIA,159027175,0,159027175,2.04
30-Jun-2026,AALI,ASTRA AGRO LESTARI Tbk,PT ASTRA INTERNATIONAL TBK,Corporate,L,,INDONESIA,0,1533682440,1533682440,79.68
30-Jun-2026,AALI,ASTRA AGRO LESTARI Tbk,DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,State Owned Enterprises,L,,INDONESIA,41979300,0,41979300,2.18
30-Jun-2026,ABBA,MAHAKA MEDIA Tbk,YAYASAN BINA SEJAHTERA WARGA BULOG,,,,,0,52975286,52975286,1.35
30-Jun-2026,ABBA,MAHAKA MEDIA Tbk,YAYASAN ABDI BANGSA,,,,,0,111372886,111372886,2.83
30-Jun-2026,ABBA,MAHAKA MEDIA Tbk,MEDIAHUIS IRELAND LIMITED,,,,,0,282886300,282886300,7.19
30-Jun-2026,ABBA,MAHAKA MEDIA Tbk,PT BEYOND MEDIA,Private Equity,L,,INDONESIA,1592831618,0,1592831618,40.47
30-Jun-2026,ABBA,MAHAKA MEDIA Tbk,PT.Grid One Media,Corporate,L,,INDONESIA,43791628,0,43791628,1.11
30-Jun-2026,ABBA,MAHAKA MEDIA Tbk,SOLIC KREASI BARU PT,Corporate,L,,INDONESIA,542042122,0,542042122,13.77
30-Jun-2026,ABBA,MAHAKA MEDIA Tbk,PT KAIROS EKSPRES INTERNASIONAL,Corporate,L,,INDONESIA,52362500,0,52362500,1.33
30-Jun-2026,ABBA,MAHAKA MEDIA Tbk,PEARL HILL INVESTMENTS LTD,Financial Institutional,F,,"VIRGIN ISLANDS, BRITISH",39999999,0,39999999,1.02
